web_scraper_order,web_scraper_start_url,Type,prix,adresse,image
"1767359462-1","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Nike","5 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2408789_uploaded_image1_1594145984.jpg"
"1767359462-2","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Sandales Jordan","6 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2408786_uploaded_image1_1594145954.jpg"
"1767359462-3","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures en Cuir","10 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2408130_uploaded_image1_1594138220.jpg"
"1767359462-4","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures homme","12 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407925_uploaded_image2_1594136244.jpeg"
"1767359462-5","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures homme","12 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407919_uploaded_image1_1594136173.jpg"
"1767359462-6","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets homme","12 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407907_uploaded_image1_1594136031.jpg"
"1767359462-7","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures mixtes","15 000CFA","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407502_uploaded_image1_1594131758.jpg"
"1767359462-8","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussure homme","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_2407406_uploaded_image2_1594131017.jpeg"
"1767359462-9","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Espadrilles","2 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2407155_uploaded_image1_1594128347.jpg"
"1767359462-10","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets homme","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2406878_uploaded_image1_1594125454.jpg"
"1767359462-11","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures homme","5 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2406847_uploaded_image1_1594125168.jpg"
"1767359462-12","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures homme","20 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2406707_uploaded_image1_1594123519.jpg"
"1767359462-13","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Sandales homme","6 500CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2405943_uploaded_image1_1594116120.jpg"
"1767359462-14","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures homme","6 500CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_2405877_uploaded_image1_1594115524.jpg"
"1767359462-15","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Adidas Pharell","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2405581_uploaded_image1_1594111769.jpg"
"1767359462-16","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike AF 1","22 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2405573_uploaded_image1_1594111689.jpg"
"1767359462-17","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Nike Air 200","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2405564_uploaded_image1_1594111628.jpg"
"1767359462-18","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures homme","6 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2404896_uploaded_image1_1594099527.jpg"
"1767359462-19","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Babouches homme","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2404532_uploaded_image1_1594082221.jpg"
"1767359462-20","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Puma","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2404301_uploaded_image1_1594078880.jpg"
"1767359462-21","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Hommes","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2404289_uploaded_image1_1594078788.jpg"
"1767359462-22","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2404279_uploaded_image1_1594078656.jpg"
"1767359462-23","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2404255_uploaded_image1_1594078407.jpg"
"1767359462-24","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures homme","25 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2404252_uploaded_image1_1594078317.jpg"
"1767359462-25","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Babouches","Prix sur demande","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2403907_uploaded_image1_1594072972.jpg"
"1767359462-26","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures hommes","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2403902_uploaded_image1_1594072699.jpg"
"1767359462-27","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures hommes","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2403897_uploaded_image1_1594072584.jpg"
"1767359462-28","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Homme","25 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2403881_uploaded_image1_1594072420.jpg"
"1767359462-29","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Hommes","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2403879_uploaded_image1_1594072340.jpg"
"1767359462-30","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures hommes","6 500CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2403783_uploaded_image1_1594070206.jpg"
"1767359462-31","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Air Adidas","5 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2403616_uploaded_image1_1594067655.jpg"
"1767359462-32","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Baskets Air Zoom","15 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2403609_uploaded_image1_1594067552.jpg"
"1767359462-33","https://sn.coinafrique.com/categorie/chaussures-homme?page=119","Chaussures Tik tik","4 000CFA","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_2403598_uploaded_image1_1594067476.jpg"
