web_scraper_order,web_scraper_start_url,Type,prix,adresse,image
"1767357242-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Chemises Giant","17 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199415_uploaded_image1_1590844835.jpg"
"1767357242-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","T-shirts homme","11 500CFA","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2199325_uploaded_image1_1590843737.jpg"
"1767357242-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble lacoste kaki","11 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2198774_uploaded_image1_1590838193.jpg"
"1767357242-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2198726_uploaded_image1_1590837758.jpg"
"1767357242-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble homme","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2198716_uploaded_image1_1590837667.jpg"
"1767357242-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble chomme","15 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2198709_uploaded_image1_1590837600.jpg"
"1767357242-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198585_uploaded_image1_1590836253.jpg"
"1767357242-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198582_uploaded_image1_1590836210.jpg"
"1767357242-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtement homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198342_uploaded_image1_1590834477.jpg"
"1767357242-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198292_uploaded_image1_1590834135.jpg"
"1767357242-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements Homme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198269_uploaded_image1_1590833952.jpg"
"1767357242-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Vêtements hommes","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_2198259_uploaded_image1_1590833872.jpg"
"1767357242-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Polo Lacoste","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197635_uploaded_image1_1590827558.jpg"
"1767357242-14","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste homme","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197625_uploaded_image1_1590827486.jpg"
"1767357242-15","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste Homme","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197617_uploaded_image1_1590827440.jpg"
"1767357242-16","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Lacoste homme","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197608_uploaded_image1_1590827387.jpg"
"1767357242-17","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Polo Lacoste","10 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_2197603_uploaded_image1_1590827349.jpg"
"1767357242-18","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196565_uploaded_image1_1590797135.jpg"
"1767357242-19","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Pantalons Kaki","6 500CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196564_uploaded_image1_1590797069.jpg"
"1767357242-20","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Ensemble vêtements","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2196499_uploaded_image1_1590796189.jpg"
